Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017	Electores 2019	Localidad / Comuna / Asentamiento
1	10H	CAPITAL	PARQUE CAPITAL	10384	11042	11714	12249	12502	12310	Córdoba
16	239	RIO SEGUNDO	ONCATIVO	10974	11312	11812	11976	12193	12104	ONCATIVO
1	10B	CAPITAL	CIUDADELA	11406	11541	11968	12227	12183	11958	Córdoba
1	6C	CAPITAL	GRAL PAZ	10155	10733	11160	11792	12107	12369	Córdoba
3	41A	COLON	SALDAN	6813	8004	8731	10787	12096	12545	SALDAN
3	40A	COLON	MENDIOLAZA	4147	5487	6903	9937	11529	11965	MENDIOLAZA
1	12H	CAPITAL	LOS CERVECEROS	7337	8095	9223	10415	11415	11550	Córdoba
3	34	COLON	JUAREZ CELMAN	6317	7344	8007	9863	11360	11905	JUAREZ CELMAN
23	344	TERCERO ARRIBA	OLIVA	10583	10670	10982	11264	11354	11262	OLIVA
1	11K	CAPITAL	VILLA GRAL URQUIZA	9402	10006	10701	11004	11327	11258	Córdoba
1	5D	CAPITAL	MALDONADO	9568	9548	10121	10703	11243	11198	Córdoba
8	112	JUAREZ CELMAN	LA CARLOTA	9548	9888	10695	10962	11183	11192	LA CARLOTA
1	12G	CAPITAL	ITUZAINGO	8630	9342	9995	10548	11101	11053	Córdoba
12	148	PUNILLA	CAPILLA DEL MONTE	8004	8659	9466	10340	10721	10880	CAPILLA DEL MONTE
23	336	TERCERO ARRIBA	ALMAFUERTE	8813	9273	9832	10335	10624	10662	ALMAFUERTE
8	106	JUAREZ CELMAN	CABRERA	8437	9166	9752	10363	10534	10583	CABRERA
1	10I	CAPITAL	PARQUE HORIZONTE	8122	8101	9162	9858	10449	10545	Córdoba
14	211	RIO PRIMERO	MONTE CRISTO	6272	6926	8217	9441	10150	10252	MONTE CRISTO
23	340	TERCERO ARRIBA	HERNANDO	9066	9155	9511	9882	10077	9949	HERNANDO
8	109	JUAREZ CELMAN	DEHEZA	7740	8448	9066	9509	9869	9836	DEHEZA
1	7D	CAPITAL	COFICO	9041	8475	8690	9141	9791	9841	Córdoba
3	38	COLON	SALSIPUEDES	5733	6767	7167	8733	9743	10050	SALSIPUEDES
1	14M	CAPITAL	VILLA CENTENARIO	10601	10234	10022	9704	9704	9462	Córdoba
1	14G	CAPITAL	LOS BOULEVARES	7153	7769	8483	9028	9437	9434	Córdoba
9	131	MARCOS JUAREZ	LEONES	8434	8651	9021	9334	9409	9346	LEONES
13	183	RIO CUARTO	VICUÑA MACKENNA	7572	8167	8795	9141	9389	9328	VICUÑA MACKENNA
1	13	CAPITAL	LEANDRO N. ALEM	9539	9366	9501	9241	9268	9081	Córdoba
1	9D	CAPITAL	POETA LUGONES	8367	8673	9004	9100	9246	9215	Córdoba
1	12	CAPITAL	AVELLANEDA	7504	7941	8343	8703	9171	9163	Córdoba
9	125	MARCOS JUAREZ	CORRAL DE BUSTOS	8209	8422	8827	8991	8971	8814	CORRAL DE BUSTOS
18	262	SAN ALBERTO	MINA CLAVERO	6202	6856	7625	8252	8822	9043	MINA CLAVERO
20	282	SAN JUSTO	BRINKMANN	7261	7612	8151	8482	8759	8784	BRINKMANN
12	157	PUNILLA	SANTA MARIA	6331	6995	7312	8095	8666	8811	SANTA MARIA
1	8C	CAPITAL	VILLA LOS PINOS	8082	8187	8377	8417	8468	8304	Córdoba
1	11F	CAPITAL	LOS ROBLES	4825	5577	6498	7350	8340	8407	Córdoba
2	20A	CALAMUCHITA	VILLA GENERAL BELGRANO	5285	6163	6568	7501	8272	8677	VILLA GENERAL BELGRANO
1	7F	CAPITAL	JORGE NEWBERY	7733	8431	8548	8247	8251	8072	Córdoba
13	184	RIO CUARTO	MOLDES	7003	7420	7829	8120	8195	8229	MOLDES
1	6F	CAPITAL	YAPEYU	7389	7495	7845	7902	8173	8054	Córdoba
1	14J	CAPITAL	URCA	7728	8073	8164	8063	8049	7865	Córdoba
24	359	TOTORAL	VILLA DEL TOTORAL	6077	6570	7230	7756	8031	8151	VILLA DEL TOTORAL
1	9B	CAPITAL	LAS MARGARITAS	8463	8089	8141	7968	8009	7808	Córdoba
1	13F	CAPITAL	NUEVA ITALIA	6780	7141	7605	7815	7940	7782	Córdoba
26	378	UNION	CANALS	6973	7091	7548	7708	7714	7645	CANALS
1	14O	CAPITAL	VILLA 9 DE JULIO	5581	6266	7001	7248	7703	7639	Córdoba
26	396	UNION	POSSE	6369	6757	7094	7503	7678	7624	POSSE
4	56	CRUZ DEL EJE	SOTO	5786	6120	6716	7152	7667	7697	SOTO
1	13N	CAPITAL	YOFRE	7604	7548	7590	7489	7591	7393	Córdoba
5	61	GENERAL ROCA	HUINCA RENANCO	7065	7072	7354	7600	7565	7497	HUINCA RENANCO
13	189	RIO CUARTO	SAMPACHO	6681	6901	7218	7443	7525	7467	SAMPACHO
14	220	RIO PRIMERO	VILLA SANTA ROSA	5990	6315	6836	7267	7465	7433	VILLA SANTA ROSA
2	17	CALAMUCHITA	EMBALSE	6044	6336	6604	7104	7463	7481	EMBALSE
1	6D	CAPITAL	JUNIORS	6680	6338	6929	7043	7449	7208	Córdoba
21	326	SANTA MARIA	MALAGUEÑO	5393	5806	6460	6972	7295	7386	MALAGUEÑO
1	14	CAPITAL	ARGUELLO	4873	5206	6143	6656	7191	7201	Córdoba
1	14B	CAPITAL	ARGUELLO PRIMERO	6462	6828	7262	7316	7171	7052	Córdoba
12	153	PUNILLA	LA CUMBRE	6029	6344	6570	7039	7126	7203	LA CUMBRE
1	10C	CAPITAL	COMERCIAL	6745	6856	6956	6881	7055	7047	Córdoba
13	179	RIO CUARTO	LAS HIGUERAS	4646	5073	5273	6209	6992	7255	LAS HIGUERAS
14	218	RIO PRIMERO	RIO PRIMERO	5385	5722	6242	6644	6965	7018	RIO PRIMERO
16	235	RIO SEGUNDO	LAGUNA LARGA	6080	6353	6643	6824	6806	6743	LAGUNA LARGA
1	11H	CAPITAL	QUEBRADA LAS ROSAS	5914	5959	6459	6639	6802	6719	Córdoba
1	7A	CAPITAL	GUIÑAZU	5368	5917	6541	6638	6787	6700	Córdoba
1	14F	CAPITAL	GRANJA DE FUNES	6877	7016	7160	6703	6771	6661	Córdoba
1	11B	CAPITAL	DON BOSCO	5665	6389	6582	6708	6739	6747	Córdoba
1	14E	CAPITAL	CERRO NORTE	4192	5084	5863	6463	6648	6576	Córdoba
1	14D	CAPITAL	CERRO DE LAS ROSAS	8282	7717	7477	6883	6594	6425	Córdoba
26	391	UNION	MONTE MAIZ	5823	6142	6484	6600	6525	6393	MONTE MAIZ
